"ead > archdesc > arrangement > p","fales/mss_467.xml",16
"ead > archdesc > arrangement > p","fales/mss_481.xml",15
"ead > archdesc > arrangement > p","fales/mss_511.xml",4
"ead > archdesc > arrangement > p","fales/mss_515.xml",26
"ead > archdesc > arrangement > p","fales/mss_559.xml",3
"ead > archdesc > arrangement > p","fales/mss_590.xml",4
"ead > archdesc > arrangement > p","fales/mss_592.xml",6
"ead > archdesc > arrangement > p","fales/mss_594.xml",14
"ead > archdesc > arrangement > p","fales/mss_600.xml",27
"ead > archdesc > arrangement > p","fales/mss_601.xml",2
"ead > archdesc > arrangement > p","nyhs/ms0272_hair.xml",8
"ead > archdesc > arrangement > p","nyhs/ms108_chapel_farm.xml",5
"ead > archdesc > arrangement > p","nyhs/ms111_childrens_aid_society.xml",32
"ead > archdesc > arrangement > p","nyhs/ms1165_william_darlington.xml",5
"ead > archdesc > arrangement > p","nyhs/ms116_city_club.xml",12
"ead > archdesc > arrangement > p","nyhs/ms142_peter_curtenius.xml",7
"ead > archdesc > arrangement > p","nyhs/ms1493_james_harbord.xml",5
"ead > archdesc > arrangement > p","nyhs/ms14_american_defense_society.xml",7
"ead > archdesc > arrangement > p","nyhs/ms168_dewart_munsey_sun.xml",6
"ead > archdesc > arrangement > p","nyhs/ms179_duane_family.xml",2
"ead > archdesc > arrangement > p","nyhs/ms182_william_duer.xml",40
"ead > archdesc > arrangement > p","nyhs/ms18_american_iron_company.xml",5
"ead > archdesc > arrangement > p","nyhs/ms199_emergency_shelter.xml",24
"ead > archdesc > arrangement > p","nyhs/ms23_artists_fund_society.xml",15
"ead > archdesc > arrangement > p","nyhs/ms240_horatio_gates.xml",5
"ead > archdesc > arrangement > p","nyhs/ms24_colored_orphan_asylum.xml",14
"ead > archdesc > arrangement > p","nyhs/ms25_astor_family.xml",3
"ead > archdesc > arrangement > p","nyhs/ms2902_bowers_family.xml",11
"ead > archdesc > arrangement > p","nyhs/ms2906_bannerman_family.xml",7
"ead > archdesc > arrangement > p","nyhs/ms2922_oxman.xml",7
"ead > archdesc > arrangement > p","nyhs/ms2923_caledonian_club.xml",13
"ead > archdesc > arrangement > p","nyhs/ms2948_hannah_campbell.xml",3
"ead > archdesc > arrangement > p","nyhs/ms2959_shirley_lester_halbreich.xml",3
"ead > archdesc > arrangement > p","nyhs/ms2964_ladies_mile_district.xml",4
"ead > archdesc > arrangement > p","nyhs/ms3017_nicholas_scoppetta.xml",14
"ead > archdesc > arrangement > p","nyhs/ms3018_john_zuccotti.xml",12
"ead > archdesc > arrangement > p","nyhs/ms3029_vincenzo_beltrone.xml",5
"ead > archdesc > arrangement > p","nyhs/ms3031_daughters_of_cincinnati.xml",5
"ead > archdesc > arrangement > p","nyhs/ms3033_horticultural.xml",33
"ead > archdesc > arrangement > p","nyhs/ms3034_holland_dames.xml",14
"ead > archdesc > arrangement > p","nyhs/ms3042_ethical_culture_fieldston.xml",19
"ead > archdesc > arrangement > p","nyhs/ms3068_sharman.xml",4
"ead > archdesc > arrangement > p","nyhs/ms3069_lillard.xml",3
"ead > archdesc > arrangement > p","nyhs/ms3071_wednesday.xml",6
"ead > archdesc > arrangement > p","nyhs/ms3074_ahearn.xml",2
"ead > archdesc > arrangement > p","nyhs/ms3078_dumpson.xml",19
"ead > archdesc > arrangement > p","nyhs/ms3080_army_navy_club.xml",3
"ead > archdesc > arrangement > p","nyhs/ms3085_9threg.xml",6
"ead > archdesc > arrangement > p","nyhs/ms3113_new_england_society.xml",6
"ead > archdesc > arrangement > p","nyhs/ms3130_price.xml",10
"ead > archdesc > arrangement > p","nyhs/ms3134_ron_spadafora.xml",6
