SOURCE TYPE,SOLR_FIELD,PROCESSING,SOURCE
Solrizer - xpath query,unitdate_normal_teim,"For each element returned, if the value matches /(\d{4})\/(\d{4})/, take the number on the left of the slash and add to array to be indexed.",did/unitdate/@normal
Solrizer - xpath query,unitdate_normal_sim,"For each element returned, if the value matches /(\d{4})\/(\d{4})/, take the number on the left of the slash and add to array to be indexed.",did/unitdate/@normal
Solrizer - xpath query,unitdate_start_sim,"For each element returned, if the value matches /(\d{4})\/(\d{4})/, take the number on the left of the slash and add to array to be indexed.",did/unitdate/@normal
Solrizer - xpath query,unitdate_start_ssm,"For each element returned, if the value matches /(\d{4})\/(\d{4})/, take the number on the left of the slash and add to array to be indexed.",did/unitdate/@normal
Solrizer - xpath query,unitdate_start_si,"For each element returned, if the value matches /(\d{4})\/(\d{4})/, take the number on the left of the slash and add to array to be indexed.",did/unitdate/@normal
Solrizer - xpath query,unitdate_inclusive_teim,,archdesc[@level='collection']/did/unitdate[@type='inclusive']
Solrizer - xpath query,unitid_teim,,did/unitid
Solrizer - xpath query,unitid_ssm,,did/unitid
Solrizer - xpath query,unittitle_ssm,"For `unittitle_teim`, no special instructions.  For `unittitle_ssm`: sanitize  (see https://jira.nyu.edu/browse/DLFA-209) and change all EAD tags in the <unittitle> text which have `render` attributes to the appropriate HTML tag using this table: https://github.com/awead/solr_ead/blob/v0.7.5/lib/solr_ead/formatting.rb#L5-L23 and remove the `render` attribute from the tag.",did/unittitle
Solrizer - xpath query,unittitle_teim,"For `unittitle_teim`, no special instructions.  For `unittitle_ssm`: sanitize  (see https://jira.nyu.edu/browse/DLFA-209) and change all EAD tags in the <unittitle> text which have `render` attributes to the appropriate HTML tag using this table: https://github.com/awead/solr_ead/blob/v0.7.5/lib/solr_ead/formatting.rb#L5-L23 and remove the `render` attribute from the tag.",did/unittitle
Solrizer - composite,creator_ssm,"Get elements for each xpath query in the order listed. Flatten returned node sets into one array, remove duplicates, and remove `nil` values.","creator: //origination[@label='creator']/corpname, //origination[@label='creator']/famname, //origination[@label='creator']/persname"
Solrizer - composite,creator_sim,"Get elements for each xpath query in the order listed. Flatten returned node sets into one array, remove duplicates, and remove `nil` values.","creator: //origination[@label='creator']/corpname, //origination[@label='creator']/famname, //origination[@label='creator']/persname"
Solrizer - composite,id,"Append the `id` attribute of the <c> to the <eadid> value.  Example: ""photos_223aspace_ref1""",id: //eadid
Solrizer - composite,location_ssm,"For each element returned by `//container/@id`, construct a string: ""[CONTAINER TYPE ATTRIBUTE]: [CONTAINER ID ATTRIBUTE], [SUB-CONTAINER INFO]"", where [CONTAINER TYPE ATTRIBUTE] is `//container[@id = '#{id}']/@type`,  [CONTAINER ID ATTRIBUTE] is `//container[@id = '#{id}']`, and [SUB-CONTAINER INFO] is comma-delimited list of strings based on the elements returned by `//container[@parent = '#{id}']`, with each string constructed like this: ""[TYPE ATTRIBUTE OF THE (SUB-)<container>]: [TEXT OF THE (SUB-)<container>]""","location: //container/@id, //container[@id = '#{id}']/@type, //container[@id = '#{id}'], //container[@parent = '#{id}']"
Solrizer - composite,location_si,"For each element returned by `//container/@id`, construct a string: ""[CONTAINER TYPE ATTRIBUTE]: [CONTAINER ID ATTRIBUTE], [SUB-CONTAINER INFO]"", where [CONTAINER TYPE ATTRIBUTE] is `//container[@id = '#{id}']/@type`,  [CONTAINER ID ATTRIBUTE] is `//container[@id = '#{id}']`, and [SUB-CONTAINER INFO] is comma-delimited list of strings based on the elements returned by `//container[@parent = '#{id}']`, with each string constructed like this: ""[TYPE ATTRIBUTE OF THE (SUB-)<container>]: [TEXT OF THE (SUB-)<container>]""","location: //container/@id, //container[@id = '#{id}']/@type, //container[@id = '#{id}'], //container[@parent = '#{id}']"
Solrizer - composite,parent_unittitles_ssm,"For each ancestor <c>, starting from the earliest ancestor to the immediate parent, if extract the first <unititle> element and add to array. For <unittitle> value, sanitize  (see https://jira.nyu.edu/browse/DLFA-209) and change all EAD tags in the <unittitle> text which have `render` attributes to the appropriate HTML tag using this table: https://github.com/awead/solr_ead/blob/v0.7.5/lib/solr_ead/formatting.rb#L5-L23 and remove the `render` attribute from the tag.  If there are no <unittitle> elements, collect the first <unitdate> element instead, using the same processing instructions.  If there are no <unitdate> elements, set value to ""[No title available]""","parent_unittitles: /c/did/unittitle, /c/did/unitdate"
Solrizer - composite,parent_unittitles_teim,"For each ancestor <c>, starting from the earliest ancestor to the immediate parent, if extract the first <unititle> element and add to array. For <unittitle> value, sanitize  (see https://jira.nyu.edu/browse/DLFA-209) and change all EAD tags in the <unittitle> text which have `render` attributes to the appropriate HTML tag using this table: https://github.com/awead/solr_ead/blob/v0.7.5/lib/solr_ead/formatting.rb#L5-L23 and remove the `render` attribute from the tag.  If there are no <unittitle> elements, collect the first <unitdate> element instead, using the same processing instructions.  If there are no <unitdate> elements, set value to ""[No title available]""","parent_unittitles: /c/did/unittitle, /c/did/unitdate"
Solrizer - composite,series_sim,"For each ancestor <c>, starting from the earliest ancestor to the immediate parent, if extract the first <unititle> element and add to array. For <unittitle> value, sanitize  (see https://jira.nyu.edu/browse/DLFA-209) and change all EAD tags in the <unittitle> text which have `render` attributes to the appropriate HTML tag using this table: https://github.com/awead/solr_ead/blob/v0.7.5/lib/solr_ead/formatting.rb#L5-L23 and remove the `render` attribute from the tag.  If there are no <unittitle> elements, collect the first <unitdate> element instead, using the same processing instructions.  If there are no <unitdate> elements, set value to ""[No title available]""","seriesForFacet: /c/did/unittitle, /c/did/unitdate"
Solrizer - composite,series_si,"For each ancestor <c>, starting from the earliest ancestor to the immediate parent, if extract the first <unititle> element and add to array. For <unittitle> value, sanitize  (see https://jira.nyu.edu/browse/DLFA-209) and change all EAD tags in the <unittitle> text which have `render` attributes to the appropriate HTML tag using this table: https://github.com/awead/solr_ead/blob/v0.7.5/lib/solr_ead/formatting.rb#L5-L23 and remove the `render` attribute from the tag.  If there are no <unittitle> elements, collect the first <unitdate> element instead, using the same processing instructions.  If there are no <unitdate> elements, set value to ""[No title available]"" These are the ""parent titles"".  Add a comma and a space to these parent titles, then add the `did/unittitle` value -- the processing for this value: sanitize (see https://jira.nyu.edu/browse/DLFA-209) and change all EAD tags in the <unittitle> text which have `render` attributes to the appropriate HTML tag using this table: https://github.com/awead/solr_ead/blob/v0.7.5/lib/solr_ead/formatting.rb#L5-L23 and remove the `render` attribute from the tag. If there are no parent titles, just use this processed `did/unittitle` value.","seriesForSort: /c/did/unittitle, /c/did/unitdate, did/unittitle"
